,Words,BookOfEccleasiasticus_Counts
403,acquaint,1
404,out,0
405,caused,2
406,reservoir,0
407,sign,2
408,dependent,0
409,crosses,0
410,antetype,0
411,thunder,2
412,examined,0
413,easily,2
414,claiming,0
415,forsaken,5
416,touching,2
417,resistance,0
418,villager,0
419,redeemed,1
420,stress,0
421,haughtiness,2
422,keep,27
423,revealeth,1
424,concupiscence,0
425,selfconscious,0
426,better,23
427,dreamless,0
428,aggregates,0
429,displayed,1
430,mahomet,0
431,mocketh,0
432,pleasant,3
433,illusion,0
434,dissolved,0
435,dhamma,0
436,identity,0
437,costly,0
438,separation,0
439,frivolous,0
440,laughingstock,1
441,borders,0
442,feign,0
443,sendeth,2
444,penetrable,0
445,disgraced,3
446,steadies,0
447,equivalent,0
448,ministry,0
449,begged,0
450,enlighteneth,2
451,thence,0
452,ceaselessly,0
453,crouch,0
454,driver,0
455,full,10
456,ants,0
457,affirmations,0
458,discomfort,0
459,joining,1
460,flax,0
461,intuitional,0
462,perverteth,0
463,club,0
464,causes,0
465,grape,3
466,embodying,0
467,sinews,0
468,needles,0
469,knows,0
470,nowhere,0
471,houses,5
472,basin,0
473,employment,0
474,expedient,1
475,omen,0
476,flushes,0
477,naming,1
478,murders,0
479,temperate,1
480,morsel,0
481,spirit,11
482,diviner,0
483,magnified,4
484,brimful,0
485,base,0
486,flash,0
487,knowers,0
488,artificers,2
489,root,6
490,whirlwinds,0
491,laden,1
492,disciples,0
493,referred,0
494,channel,1
495,food,1
496,accrue,0
497,schismatical,1
498,ago,0
499,burn,4
500,equanimous,0
501,purpose,0
502,pratyagatman,0
503,whilst,3
504,goal,0
505,theory,0
506,departs,0
507,fleetness,0
508,compare,0
509,opposition,0
510,distress,3
511,incensed,0
512,getteth,0
513,sansara,0
514,thrust,2
515,merely,0
516,advantage,1
517,worship,2
518,forgeth,1
519,wilful,1
520,pentapolis,0
521,vigour,0
522,churlishness,1
523,interior,1
524,contradistinction,0
525,honours,0
526,sureties,0
527,cattle,1
528,temporary,0
529,murder,0
530,condition,0
531,concerned,0
532,marbles,0
533,chosen,3
534,upanishads,0
535,creatures,3
536,live,6
537,naturalist,0
538,tabernacles,0
539,sully,1
540,definite,0
541,measure,1
542,position,0
543,hot,1
544,practice,1
545,doings,0
546,explain,1
547,farreaching,0
548,attribute,0
549,minutest,0
550,unwinding,0
551,naves,0
552,longlived,1
553,urinating,0
554,shalt,76
555,earnest,0
556,electrons,0
557,nights,0
558,cheerful,3
559,contemplation,0
560,obtained,3
561,net,0
562,bound,2
563,herb,0
564,brahmana,0
565,thou,230
566,savatthi,0
567,torrent,0
568,coordinated,0
569,blood,14
570,spacious,0
571,perverse,2
572,admonish,2
573,simpler,0
574,complete,0
575,wrestled,1
576,bashfulness,1
577,dares,0
578,manifested,0
579,assemblies,2
580,holocaust,0
581,awakes,0
582,wronging,1
583,counts,0
584,manifold,0
585,emblem,0
586,meddle,2
587,continent,1
588,submit,2
589,excessive,1
590,moving,0
591,surely,3
592,nest,0
593,extremes,0
594,nostrils,0
595,analysis,0
596,delighteth,0
597,blamed,0
598,wave,1
599,accused,0
600,palate,1
601,amended,0
602,cessation,0
603,complaint,2
604,lending,1
605,allknowing,0
606,lift,5
607,inclining,0
608,briefly,0
609,nexus,0
610,thing,18
611,assuredly,1
612,gait,1
613,meddleth,0
614,lifespan,0
615,tilleth,1
616,accustoming,0
617,bowels,4
618,wordsworth,0
619,correction,4
620,conquers,0
621,notices,0
622,searched,2
623,lovedst,0
624,loud,0
625,reacheth,0
626,greed,0
627,swords,1
628,meddling,0
629,sutras,0
630,angelic,0
631,entreaty,1
632,semblance,0
633,materialistic,0
634,concurring,0
635,retailer,1
636,feces,0
637,lovest,0
638,classified,0
639,prayest,1
640,arrogancy,0
641,thinly,0
642,deserveth,0
643,unwearying,0
644,pleasures,1
645,remembers,0
646,orderly,0
647,sustained,0
648,knoweth,10
649,doom,0
650,total,0
651,rewards,0
652,subtlest,0
653,err,1
654,vantage,0
655,dealer,0
656,reflecting,0
657,bud,2
658,mourn,2
659,negligence,2
660,egyptians,0
661,renowned,1
662,ceased,1
663,retract,0
664,reckoned,0
665,emotions,0
666,neglecteth,0
667,maintaineth,0
668,placed,0
669,ensnared,0
670,spiritually,0
671,solution,0
672,kinds,0
673,jivas,0
674,tonguesphere,0
675,beautified,2
676,parting,0
677,quality,0
678,fulfilment,0
679,moves,0
680,showers,1
681,nine,1
682,troubleth,0
683,nutriments,0
684,mingling,0
685,resemblances,0
686,train,0
687,examine,3
688,niggardliness,1
689,gain,1
690,byword,1
691,secondary,0
692,perish,9
693,stage,0
694,luminous,0
695,waged,0
696,attention,0
697,shrine,0
698,spent,0
699,procedure,0
700,stressfulness,0
701,ancients,7
702,contemplatives,0
703,confoundeth,1
704,centres,0
705,unanimous,1
706,eloquent,0
707,commentator,0
708,becoming,0
709,uneasy,1
710,stability,0
711,elegantlooking,0
712,shin,0
713,divinity,0
714,major,0
715,sakes,2
716,beating,0
717,region,0
718,mitigated,0
719,impudence,2
720,worldview,0
721,divines,0
722,blossoms,0
723,qualities,0
724,removeth,0
725,ferreted,0
726,centre,0
727,revealer,0
728,creates,0
729,denoting,1
730,perceive,0
731,contemplative,0
732,for,0
733,undivided,0
734,coins,0
735,birds,4
736,smallest,0
737,dart,0
738,possessed,1
739,inclines,0
740,thinks,0
741,everlasting,13
742,side,9
743,beholds,0
744,temper,0
745,plant,2
746,overturned,1
747,beds,0
748,physician,6
749,remnant,2
750,forward,0
751,candy,0
752,rapines,1
753,hinges,0
754,remote,0
755,teachings,0
756,distance,0
757,wronged,2
758,realized,0
759,gautama,0
760,draweth,0
761,mayest,0
762,seldom,0
763,unmanageable,0
764,simile,0
765,posts,0
766,real,0
767,snorteth,0
768,faster,0
769,mockery,1
770,inculcate,0
771,hides,0
772,vessels,1
773,anteroom,0
774,carrying,0
775,hired,1
776,blissful,0
777,procure,0
778,vanquishes,0
779,objects,0
780,kinsman,1
781,fivefold,0
782,mahat,0
783,mitre,1
784,kindly,0
785,insist,0
786,sent,3
787,fourfold,0
788,onepointedness,0
789,sudden,2
790,forecasteth,0
791,mortal,0
792,petition,1
793,named,1
794,disclose,5
795,observer,0
796,fourth,1
797,chooseth,1
798,trembled,2
799,onias,1
800,bethhoron,1
801,rest,22
802,book,2
803,paradoxical,0
804,betweenthetwo,0
805,calculates,0
806,good,95
807,kindleth,2
808,visit,1
809,purged,0
810,voices,2
811,supremacy,0
812,upholds,0
813,encompassed,0
814,oath,1
815,coat,0
816,grain,0
817,kids,0
818,sackcloth,1
819,likeness,1
820,reproducing,0
821,christ,2
822,tyranny,0
823,injustices,2
824,flight,0
825,overwhelmeth,1
826,method,0
827,devised,0
828,actings,0
829,spark,3
830,feed,2
831,unthankful,2
832,much,36
833,property,0
834,altar,6
835,changeable,0
836,drinking,1
837,risen,0
838,sky,0
839,original,0
840,persecutors,1
841,hide,7
842,tendons,0
843,earring,0
844,famine,3
845,israelites,0
846,supporting,0
847,irreverence,1
848,accusation,1
849,downward,0
850,nearer,0
851,needy,5
852,bitterest,0
853,styled,1
854,renew,2
855,priestly,0
856,clothe,2
857,flit,0
858,oilofthejoints,0
859,solace,0
860,dye,0
861,frogs,0
862,tookest,0
863,mouth,40
864,grindeth,0
865,fleshless,0
866,child,4
867,lifework,0
868,conditions,0
869,shamefaced,1
870,avyaktam,0
871,pay,6
872,horses,1
873,variations,0
874,day,36
875,accord,0
876,undecaying,0
877,merciless,0
878,belieth,0
879,unholiness,0
880,vapours,1
881,painpain,0
882,protested,1
883,speaking,1
884,sparks,0
885,allencircling,0
886,deluded,0
887,rivalry,0
888,crouching,1
889,stayed,0
890,strangers,1
891,turns,1
892,someone,0
893,raising,0
894,paschal,0
895,whole,5
896,showed,1
897,chief,3
898,delicately,0
899,universal,0
900,soullife,0
901,sacred,0
902,dissembler,0
903,mansions,0
904,samadhi,0
905,facet,0
906,sacrificeth,2
907,virgin,2
908,livid,0
909,buds,0
910,renown,1
911,rude,0
912,unites,0
913,gen,1
914,naught,0
915,lack,0
916,sanctification,1
917,fire,34
918,double,11
919,unfit,0
920,stumble,4
921,ignoble,0
922,devising,0
923,resolve,0
924,sinlessness,0
925,justify,6
926,wellguarded,0
927,dwellest,1
928,unpretentious,0
929,unhampered,0
930,stirred,0
931,sinful,5
932,body,11
933,robe,7
934,outermost,0
935,fruitless,0
936,siva,0
937,slanderous,1
938,proceeding,0
939,tastes,0
940,tempest,0
941,chain,1
942,beantiful,0
943,leaves,2
944,clods,0
945,reason,0
946,apprentice,0
947,sincerely,1
948,tokens,0
949,suddenly,0
950,implies,0
951,deceive,1
952,contend,1
953,white,0
954,breadth,1
955,daytime,0
956,thrown,0
957,senators,0
958,mischiefs,0
959,expressing,0
960,pocket,0
961,tradition,0
962,blindeth,1
963,sometimes,3
964,times,8
965,arrayed,0
966,ravens,0
967,blindness,0
968,denying,0
969,nations,15
970,firesacrifice,0
971,simply,0
972,presented,0
973,dependence,0
974,meditations,0
975,cheereth,1
976,borderer,0
977,birthless,0
978,preferably,0
979,laws,1
980,penetrative,0
981,relative,0
982,plagues,0
983,vanquished,0
984,testimony,3
985,effected,0
986,letter,0
987,offendicula,1
988,frames,0
989,meditating,0
990,wicked,42
991,instance,0
992,deva,0
993,covetousness,0
994,piece,0
995,third,6
996,consecrated,1
997,potency,0
998,renewal,0
999,stick,1
1000,mightily,0
1001,harmony,0
1002,conferring,0
1003,nonexistence,0
1004,consoling,0
1005,elude,0
1006,patanjali,0
1007,godvision,0
1008,breathing,1
1009,suppresseth,0
1010,ancestor,0
1011,nosesphere,0
1012,boast,0
1013,surface,0
1014,chanted,0
1015,composed,0
1016,permeates,0
1017,judge,14
1018,choice,1
1019,brahmacharya,0
1020,obituaries,0
1021,riotous,1
1022,misfortune,0
1023,unpervaded,0
1024,dispersed,0
1025,darkness,4
1026,rebellious,1
1027,swiftness,0
1028,morning,6
1029,showing,0
1030,indigo,0
1031,mindborn,0
1032,avidya,0
1033,vineyards,0
1034,enlarged,1
1035,belief,0
1036,angels,0
1037,ant,0
1038,attended,0
1039,congregation,10
1040,rule,3
1041,characteristics,0
1042,values,0
1043,spontaneous,0
1044,simon,1
1045,sends,0
1046,accumulation,0
1047,force,3
1048,emancipation,0
1049,pitcher,0
1050,determinative,0
1051,baneful,0
1052,fighting,1
1053,fathers,3
1054,frame,1
1055,reneweth,0
1056,desirer,0
1057,disregard,0
1058,undertakes,0
1059,olden,0
1060,naturalists,0
1061,clingingsustenance,0
1062,vermilion,0
1063,shorten,1
1064,preoccupation,0
1065,clay,2
1066,dry,4
1067,imprisoned,0
1068,aloud,0
1069,entangles,0
1070,irons,0
1071,merchandise,0
1072,vayu,0
1073,reproved,4
1074,nets,0
1075,clemency,0
1076,sick,2
1077,frequent,0
1078,offereth,3
1079,hearts,8
1080,streets,4
1081,composition,1
1082,petty,0
1083,affairs,0
1084,grace,24
1085,bondages,0
1086,drunken,4
1087,snake,0
1088,crystal,1
1089,converted,1
1090,despised,4
1091,earcontact,0
1092,considering,1
1093,yoke,7
1094,plans,0
1095,rabbit,0
1096,shock,0
1097,ancient,3
1098,moved,3
1099,effective,0
1100,waning,0
1101,abhorred,1
1102,fulfil,1
1103,potent,0
1104,regular,0
1105,countervail,1
1106,therewith,2
1107,shooteth,0
1108,eaters,0
1109,unfaithfulness,0
1110,counteth,0
1111,destructible,0
1112,beats,0
1113,armour,0
1114,casting,0
1115,offended,2
1116,creatively,0
1117,amends,0
1118,remnants,0
1119,prodigies,1
1120,humiliation,2
1121,increases,0
1122,pierces,0
1123,pestle,0
1124,unestablished,0
1125,devour,4
1126,success,4
1127,desireth,3
1128,maidservants,0
1129,balance,3
1130,refresh,1
1131,darwin,0
1132,craft,1
1133,flames,0
1134,sensuality,0
1135,worshipful,0
1136,assert,0
1137,courageously,0
1138,swaddling,0
1139,still,3
1140,intent,0
1141,suffereth,1
1142,composure,0
1143,friendly,0
1144,madness,0
1145,empty,2
1146,abidingplace,0
1147,smith,1
1148,fit,1
1149,agreement,1
1150,arms,4
1151,fish,0
1152,instructeth,2
1153,migration,0
1154,bray,0
1155,possessors,0
1156,reflections,0
1157,said,9
1158,arm,3
1159,grasping,0
1160,savoring,0
1161,depth,2
1162,ear,8
1163,shepherd,1
1164,clans,0
1165,crib,0
1166,moderate,2
1167,wore,0
1168,bath,0
1169,term,0
1170,sensual,0
1171,bathman,0
1172,hating,0
1173,justice,30
1174,healed,1
1175,saw,9
1176,extending,0
1177,swearing,2
1178,repaired,0
1179,wearing,0
1180,reaps,0
1181,diligence,2
1182,storax,1
1183,repeateth,0
1184,pessimism,0
1185,indulgence,0
1186,disposest,0
1187,today,0
1188,austerities,0
1189,concentrated,0
1190,surname,1
1191,sword,6
1192,infamy,1
1193,fatherless,2
1194,prophets,8
1195,saviour,2
1196,claims,0
1197,lion,7
1198,valiant,2
1199,diverse,0
1200,rudiments,0
1201,suspected,1
1202,timeliness,0
1203,standing,1
1204,sold,0
1205,learned,5
1206,season,4
1207,lifeincreasing,0
1208,confirmed,4
1209,aright,1
1210,attracts,0
1211,unknown,1
1212,wandereth,0
1213,plies,0
1214,strategy,0
1215,mothers,2
1216,wrath,22
1217,preeminence,3
1218,notes,0
1219,craving,0
1220,commentators,0
1221,provideth,1
1222,adversaries,3
1223,members,0
1224,we,0
1225,quenching,0
1226,provoketh,0
1227,wounded,2
1228,rejects,0
1229,stroke,3
1230,believeth,1
1231,overfloweth,0
1232,stupid,0
1233,touchless,0
1234,steadfastness,1
1235,rhinoceros,0
1236,seconds,0
1237,interpreter,0
1238,bringing,2
1239,aloof,0
1240,confounded,9
1241,minister,0
1242,school,0
1243,destroyeth,2
1244,rottenness,1
1245,vibration,0
1246,instructions,1
1247,creature,0
1248,complain,2
1249,manifestly,0
1250,precept,0
1251,horrified,0
1252,partings,0
1253,bedding,0
1254,echo,0
1255,proceed,0
1256,o,0
1257,size,0
1258,jesus,7
1259,assent,0
1260,unable,0
1261,longs,0
1262,graven,2
1263,control,0
1264,desiring,0
1265,shine,2
1266,axle,0
1267,translated,2
1268,fugitives,0
1269,generally,0
1270,threeand,0
1271,safety,1
1272,aimed,0
1273,forgetfulness,0
1274,passages,0
1275,correcting,0
1276,joyfully,0
1277,form,0
1278,anytime,1
1279,indigence,0
1280,jerusalem,3
1281,escapeth,2
1282,dragon,1
1283,forsake,8
1284,detail,0
1285,withdraw,2
1286,fixedly,0
1287,series,0
1288,incontinence,0
1289,either,1
1290,obdurate,0
1291,rests,0
1292,unholy,0
1293,classify,0
1294,hears,0
1295,penetrated,1
1296,erect,0
1297,bread,14
1298,assumption,0
1299,advantageous,0
1300,merciful,5
1301,poisonous,0
1302,neck,6
1303,perfected,3
1304,officers,0
1305,coarising,0
1306,prevailed,1
1307,appointed,4
1308,vaunts,0
1309,lessening,1
1310,overtake,1
1311,regions,1
1312,commence,0
1313,beholder,1
1314,dread,2
1315,renounced,0
1316,alms,8
1317,running,0
1318,challenge,1
1319,egotism,0
1320,intermeddle,0
1321,plain,3
1322,unhappy,1
1323,nonaction,0
1324,eloquence,0
1325,profitable,2
1326,runnest,0
1327,neer,0
1328,creative,0
1329,forest,1
1330,hypocrisy,0
1331,means,0
1332,circuit,1
1333,environment,0
1334,exiled,0
1335,prophecy,2
1336,wins,0
1337,contention,1
1338,aboundeth,4
1339,brightness,1
1340,redlotus,0
1341,nettles,0
1342,restoreth,1
1343,happy,3
1344,eschew,0
1345,hedge,3
1346,chaseth,0
1347,occultism,0
1348,bracelet,1
1349,superseded,0
1350,fools,6
1351,wills,0
1352,affection,0
1353,robbers,0
1354,selective,0
1355,twelve,2
1356,dominance,0
1357,hunger,1
1358,coats,0
1359,defile,1
1360,lots,0
1361,misconduct,0
1362,limbo,0
1363,two,11
1364,mindpictures,0
1365,shoot,0
1366,henoch,2
1367,settled,1
1368,apace,1
1369,change,4
1370,follow,9
1371,irregular,0
1372,mitigate,1
1373,requirements,0
1374,suggestion,0
1375,accomplished,0
1376,mourners,1
1377,contribution,1
1378,stammering,0
1379,sifteth,1
1380,somewhat,0
1381,amenable,0
1382,rearing,1
1383,town,0
1384,auddalaki,0
1385,scrupulous,0
1386,stores,0
1387,wormwood,0
1388,notably,0
1389,resembling,0
1390,elegance,0
1391,eternally,0
1392,brought,17
1393,expanded,0
1394,endowed,0
1395,administer,0
1396,hindrance,0
1397,observeth,0
1398,roofed,0
1399,obtainable,0
1400,produced,0
1401,alert,0
1402,lifeforce,0
1403,dissonant,0
1404,xi,0
1405,lusts,2
1406,indifference,0
1407,divers,1
1408,magical,0
1409,ardent,0
1410,guarding,0
1411,delighted,7
1412,fitness,0
1413,drown,0
1414,blindly,0
1415,hateth,9
1416,idealists,0
1417,precisely,0
1418,listened,0
1419,hereafter,0
1420,asserts,0
1421,slumber,0
1422,confining,0
1423,wonders,4
1424,discover,2
1425,wood,4
1426,issueth,0
1427,linen,1
1428,realised,0
1429,everpure,0
1430,hind,0
1431,opposing,0
1432,unreleased,0
1433,might,13
1434,rehearse,1
1435,maker,1
1436,doctor,1
1437,whither,0
1438,insipid,0
1439,bloweth,1
1440,arouse,0
1441,goods,9
1442,tortured,0
1443,apart,0
1444,guile,1
1445,unquestioning,0
1446,festering,0
1447,messenger,0
1448,entertain,1
1449,rejoiceth,3
1450,externally,0
1451,wall,0
1452,inquisitive,2
1453,discovered,0
1454,believes,0
1455,sounds,0
1456,strong,11
1457,ibid,0
1458,vomiter,0
1459,proper,1
1460,aspects,0
1461,accidents,0
1462,interplay,0
1463,finer,0
1464,miraculous,0
1465,boundless,1
1466,praiseth,0
1467,unloose,0
1468,passion,0
1469,beggary,0
1470,sections,0
1471,walking,1
1472,bewildered,0
1473,sinner,18
1474,birth,0
1475,cleanness,0
1476,jaw,0
1477,thinking,1
1478,distinguishes,0
1479,stain,1
1480,clothing,2
1481,become,10
1482,who,0
1483,tarry,3
1484,count,2
1485,briars,0
1486,pilgrimage,0
1487,duties,1
1488,meanings,1
1489,fruit,8
1490,east,0
1491,quiver,1
1492,measuring,0
1493,orbit,0
1494,brother,7
1495,close,0
1496,nonbecoming,0
1497,acknowledge,1
1498,cloak,0
1499,lighting,1
1500,infamous,0
1501,long,9
1502,thee,170
1503,graves,0
1504,merge,0
1505,disorderly,1
1506,ignorances,4
1507,hoarse,0
1508,acquires,0
1509,feast,2
1510,joylessness,0
1511,pretty,0
1512,agrees,0
1513,scared,0
1514,ashes,3
1515,establishment,0
1516,momentary,0
1517,churches,1
1518,rulest,0
1519,slowest,0
1520,transformer,0
1521,unassailable,0
1522,interest,0
1523,dyer,0
1524,impatiently,0
1525,pouring,0
1526,indulge,0
1527,unbecome,0
1528,experienced,1
1529,ride,0
1530,protecting,0
1531,indiscreet,1
1532,ananda,0
1533,falleth,1
1534,completes,0
1535,feelingness,0
1536,guiding,0
1537,cure,2
1538,range,0
1539,fir,0
1540,navel,0
1541,leaving,0
1542,shameful,1
1543,establish,2
1544,charging,0
1545,flattering,1
1546,activities,0
1547,justified,9
1548,bias,0
1549,similarly,0
1550,overcometh,0
1551,mankind,0
1552,availeth,0
1553,arrows,0
1554,perpetual,1
1555,lighten,0
1556,pick,0
1557,death,45
1558,impudent,0
1559,labourers,1
1560,miraculously,0
1561,destroyed,13
1562,shouldst,2
1563,temporal,0
1564,breasts,0
1565,trustworthy,0
1566,exclude,0
1567,striving,0
1568,socalled,0
1569,discrimination,0
1570,channels,0
1571,contrary,1
1572,dispensed,0
1573,breaking,0
1574,thorns,1
1575,borroweth,0
1576,worshippers,0
1577,frighten,0
1578,unsalty,0
1579,inhibiting,0
1580,praiseworthy,0
1581,liar,1
1582,drifted,0
1583,gluttons,0
1584,field,1
1585,healthful,1
1586,sem,2
1587,chose,2
1588,reached,1
1589,unravel,0
1590,warrior,1
1591,goes,0
1592,seem,0
1593,restlessness,0
1594,movements,0
1595,commenced,0
1596,seemeth,0
1597,rebirth,0
1598,pretend,0
1599,lizard,0
1600,indescribable,0
1601,exclusive,0
1602,drunk,2
1603,sell,0
1604,lightnings,1
1605,paradise,4
1606,mine,0
1607,lamb,2
1608,feeds,0
1609,dealeth,1
1610,beginningless,0
1611,boards,1
1612,contrivances,0
1613,associate,1
1614,separated,0
1615,stripes,1
1616,employ,0
1617,forwards,0
1618,breaths,0
1619,punishment,2
1620,solomon,2
1621,imagined,1
1622,imprison,0
1623,reborn,0
1624,habits,0
1625,vow,0
1626,reprobate,1
1627,mingles,0
1628,lotibid,0
1629,ropes,0
1630,plenty,0
1631,pearl,0
1632,triumpheth,0
1633,requite,1
1634,whetted,0
1635,evaluated,0
1636,supplements,0
1637,aspect,0
1638,fashion,1
1639,wrote,0
1640,judges,3
1641,difficulties,0
1642,myriad,0
1643,clingingaggregates,0
1644,numbered,3
1645,ripples,0
1646,wait,13
1647,manifestations,0
1648,glutted,0
1649,abyss,1
1650,scan,0
1651,executing,0
1652,dislike,0
1653,obedient,2
1654,fervour,1
1655,awakened,0
1656,companionship,0
1657,poise,0
1658,marvellously,0
1659,delivered,7
1660,uphill,0
1661,warmed,0
1662,going,4
1663,implements,0
1664,fretful,0
1665,slothfulness,0
1666,veil,0
1667,countenance,11
1668,labourer,0
1669,fermentations,0
1670,continuing,0
1671,written,1
1672,allwisdom,0
1673,deserve,0
1674,offering,5
1675,commandments,25
1676,selfexpression,0
1677,impersonal,0
