,Words,TaoTeChing_Counts
232,everlastingness,0
233,vestments,0
234,tale,1
235,weighed,0
236,heap,1
237,common,1
238,grove,0
239,amazed,0
240,seeks,3
241,flourished,0
242,almond,0
243,befall,0
244,rolling,0
245,exhaustion,2
246,brings,5
247,looked,3
248,resolves,0
249,places,2
250,asketh,0
251,armpit,0
252,sacrifice,0
253,quarrel,0
254,longed,0
255,stirreth,0
256,spiritual,2
257,breaks,0
258,devoureth,0
259,fragmentary,0
260,coarse,1
261,jesse,0
262,abnormal,0
263,jest,0
264,stronger,0
265,inclineth,0
266,usually,0
267,animal,1
268,roguery,0
269,tile,0
270,galaxies,0
271,drives,0
272,condemnation,0
273,renounce,4
274,acknowledgment,1
275,sat,0
276,harps,0
277,precedes,0
278,work,6
279,motions,0
280,dungcarts,1
281,arranging,0
282,waketh,0
283,hither,0
284,giveth,0
285,robberies,0
286,giants,0
287,lot,3
288,nigh,0
289,overthrow,1
290,bulk,0
291,ownership,1
292,enumerating,0
293,comparing,0
294,license,1
295,exposed,0
296,lands,1
297,stops,1
298,attribution,0
299,seducers,0
300,rose,1
301,rupa,0
302,whales,0
303,deficiency,2
304,poetry,0
305,honoured,2
306,ram,0
307,merchants,0
308,insatiable,1
309,waxes,0
310,paramatman,0
311,shineth,0
312,husbandman,0
313,fidelity,0
314,vacancy,2
315,absorbing,0
316,preserver,0
317,reward,1
318,stumbling,0
319,lightens,0
320,past,0
321,surrender,0
322,scandal,0
323,unnoticed,0
324,excellence,9
325,entity,0
326,promise,0
327,potencies,0
328,astronomer,0
329,overturneth,0
330,saved,0
331,familiarly,1
332,lifechannels,0
333,selfrealization,0
334,mocker,0
335,table,0
336,wandered,0
337,located,0
338,mould,0
339,think,4
340,filthiness,0
341,perhaps,0
342,welling,0
343,links,0
344,swallow,0
345,grandest,1
346,womb,0
347,arose,0
348,theft,0
349,watered,0
350,spoke,0
351,ripe,0
352,drifting,1
353,torments,0
354,warm,0
355,hunter,0
356,examines,0
357,prajapati,0
358,thief,0
359,expends,1
360,devotion,0
361,practising,1
362,lions,0
363,cluster,0
364,vanishing,0
365,shrinks,0
366,resting,1
367,irritated,0
368,grant,0
369,application,0
370,planter,1
371,portions,0
372,robes,1
373,takes,7
374,disinterested,0
375,youth,0
376,workmaster,0
377,joints,0
378,projections,0
379,stalk,0
380,supplement,1
381,delusion,1
382,smothers,0
383,disorder,5
384,married,0
385,employments,0
386,imitate,0
387,sheweth,0
388,crossed,1
389,firstfruits,0
390,poured,0
391,blemish,0
392,intestines,0
393,withdrawal,0
394,signs,0
395,quieted,0
396,thefts,0
397,high,3
398,luxuriant,1
399,endowment,0
400,differentiate,0
401,striking,0
402,promised,0
403,acquaint,0
404,out,0
405,caused,0
406,reservoir,0
407,sign,0
408,dependent,0
409,crosses,0
410,antetype,0
411,thunder,0
412,examined,0
413,easily,4
414,claiming,1
415,forsaken,0
416,touching,1
417,resistance,0
418,villager,0
419,redeemed,0
420,stress,0
421,haughtiness,0
422,keep,16
423,revealeth,0
424,concupiscence,0
425,selfconscious,0
426,better,3
427,dreamless,0
428,aggregates,0
429,displayed,3
430,mahomet,0
431,mocketh,0
432,pleasant,0
433,illusion,0
434,dissolved,0
435,dhamma,0
436,identity,0
437,costly,0
438,separation,0
439,frivolous,0
440,laughingstock,0
441,borders,0
442,feign,0
443,sendeth,0
444,penetrable,0
445,disgraced,0
446,steadies,0
447,equivalent,0
448,ministry,0
449,begged,0
450,enlighteneth,0
451,thence,0
452,ceaselessly,0
453,crouch,1
454,driver,0
455,full,8
456,ants,0
457,affirmations,0
458,discomfort,0
459,joining,0
460,flax,0
461,intuitional,0
462,perverteth,0
463,club,0
464,causes,0
465,grape,0
466,embodying,1
467,sinews,1
468,needles,0
469,knows,17
470,nowhere,1
471,houses,0
472,basin,0
473,employment,2
474,expedient,0
475,omen,2
476,flushes,0
477,naming,0
478,murders,0
479,temperate,0
480,morsel,0
481,spirit,1
482,diviner,0
483,magnified,0
484,brimful,0
485,base,0
486,flash,0
487,knowers,0
488,artificers,0
489,root,7
490,whirlwinds,0
491,laden,0
492,disciples,0
493,referred,0
494,channel,1
495,food,2
496,accrue,1
497,schismatical,0
498,ago,0
499,burn,1
500,equanimous,0
501,purpose,10
502,pratyagatman,0
503,whilst,0
504,goal,0
505,theory,0
506,departs,0
507,fleetness,0
508,compare,0
509,opposition,0
510,distress,0
511,incensed,0
512,getteth,0
513,sansara,0
514,thrust,1
515,merely,0
516,advantage,2
517,worship,0
518,forgeth,0
519,wilful,0
520,pentapolis,0
521,vigour,3
522,churlishness,0
523,interior,0
524,contradistinction,0
525,honours,2
526,sureties,0
527,cattle,0
528,temporary,0
529,murder,0
530,condition,3
531,concerned,0
532,marbles,0
533,chosen,0
534,upanishads,0
535,creatures,3
536,live,5
537,naturalist,0
538,tabernacles,0
539,sully,0
540,definite,0
541,measure,2
542,position,5
543,hot,0
544,practice,2
545,doings,0
546,explain,0
547,farreaching,1
548,attribute,0
549,minutest,0
550,unwinding,1
551,naves,1
552,longlived,0
553,urinating,0
554,shalt,0
555,earnest,0
556,electrons,0
557,nights,0
558,cheerful,0
559,contemplation,0
560,obtained,0
561,net,1
562,bound,1
563,herb,0
564,brahmana,0
565,thou,1
566,savatthi,0
567,torrent,0
568,coordinated,0
569,blood,0
570,spacious,1
571,perverse,0
572,admonish,0
573,simpler,0
574,complete,6
575,wrestled,0
576,bashfulness,0
577,dares,1
578,manifested,0
579,assemblies,0
580,holocaust,0
581,awakes,0
582,wronging,0
583,counts,0
584,manifold,0
585,emblem,0
586,meddle,0
587,continent,0
588,submit,1
589,excessive,3
590,moving,0
591,surely,1
592,nest,0
593,extremes,0
594,nostrils,2
595,analysis,0
596,delighteth,0
597,blamed,1
598,wave,0
599,accused,0
600,palate,0
601,amended,0
602,cessation,0
603,complaint,0
604,lending,0
605,allknowing,0
606,lift,0
607,inclining,0
608,briefly,0
609,nexus,0
610,thing,8
611,assuredly,0
612,gait,0
613,meddleth,0
614,lifespan,0
615,tilleth,0
616,accustoming,0
617,bowels,0
618,wordsworth,0
619,correction,3
620,conquers,1
621,notices,0
622,searched,0
623,lovedst,0
624,loud,1
625,reacheth,0
626,greed,0
627,swords,0
628,meddling,1
629,sutras,0
630,angelic,0
631,entreaty,0
632,semblance,2
633,materialistic,0
634,concurring,0
635,retailer,0
636,feces,0
637,lovest,0
638,classified,0
639,prayest,0
640,arrogancy,1
641,thinly,0
642,deserveth,0
643,unwearying,1
644,pleasures,0
645,remembers,0
646,orderly,0
647,sustained,0
648,knoweth,0
649,doom,0
650,total,0
651,rewards,0
652,subtlest,0
653,err,1
654,vantage,0
655,dealer,0
656,reflecting,0
657,bud,0
658,mourn,1
659,negligence,0
660,egyptians,0
661,renowned,0
662,ceased,1
663,retract,0
664,reckoned,0
665,emotions,0
666,neglecteth,0
667,maintaineth,0
668,placed,0
669,ensnared,0
670,spiritually,0
671,solution,0
672,kinds,0
673,jivas,0
674,tonguesphere,0
675,beautified,0
676,parting,0
677,quality,1
678,fulfilment,2
679,moves,0
680,showers,0
681,nine,1
682,troubleth,0
683,nutriments,0
684,mingling,0
685,resemblances,0
686,train,0
687,examine,0
688,niggardliness,0
689,gain,1
690,byword,0
691,secondary,0
692,perish,1
693,stage,0
694,luminous,0
695,waged,0
696,attention,1
697,shrine,1
698,spent,0
699,procedure,2
700,stressfulness,0
701,ancients,3
702,contemplatives,0
703,confoundeth,0
704,centres,0
705,unanimous,0
706,eloquent,0
707,commentator,0
708,becoming,3
709,uneasy,0
710,stability,1
711,elegantlooking,1
712,shin,0
713,divinity,0
714,major,0
715,sakes,0
716,beating,0
717,region,0
718,mitigated,0
719,impudence,0
720,worldview,0
721,divines,0
722,blossoms,0
723,qualities,2
724,removeth,0
725,ferreted,0
726,centre,1
727,revealer,0
728,creates,0
729,denoting,0
730,perceive,0
731,contemplative,0
732,for,0
733,undivided,1
734,coins,0
735,birds,1
736,smallest,1
737,dart,0
738,possessed,9
739,inclines,0
740,thinks,1
741,everlasting,0
742,side,2
743,beholds,0
744,temper,0
745,plant,1
746,overturned,0
747,beds,0
748,physician,0
749,remnant,0
750,forward,1
751,candy,0
752,rapines,0
753,hinges,0
754,remote,2
755,teachings,0
756,distance,0
757,wronged,0
758,realized,0
759,gautama,0
760,draweth,0
761,mayest,0
762,seldom,1
763,unmanageable,0
764,simile,0
765,posts,0
766,real,1
767,snorteth,0
768,faster,0
769,mockery,0
770,inculcate,0
771,hides,1
772,vessels,2
773,anteroom,0
774,carrying,0
775,hired,0
776,blissful,0
777,procure,1
778,vanquishes,1
779,objects,1
780,kinsman,0
781,fivefold,0
782,mahat,0
783,mitre,0
784,kindly,1
785,insist,1
786,sent,0
787,fourfold,0
788,onepointedness,0
789,sudden,1
790,forecasteth,0
791,mortal,0
792,petition,0
793,named,6
794,disclose,0
795,observer,1
796,fourth,0
797,chooseth,0
798,trembled,0
799,onias,0
800,bethhoron,0
801,rest,10
802,book,0
803,paradoxical,1
804,betweenthetwo,0
805,calculates,0
806,good,16
807,kindleth,0
808,visit,0
809,purged,0
810,voices,1
811,supremacy,0
812,upholds,0
813,encompassed,0
814,oath,0
815,coat,1
816,grain,0
817,kids,0
818,sackcloth,0
819,likeness,1
820,reproducing,0
821,christ,0
822,tyranny,0
823,injustices,0
824,flight,0
825,overwhelmeth,0
826,method,5
827,devised,0
828,actings,1
829,spark,0
830,feed,0
831,unthankful,0
832,much,4
833,property,1
834,altar,0
835,changeable,0
836,drinking,1
837,risen,0
838,sky,6
839,original,1
840,persecutors,0
841,hide,0
842,tendons,0
843,earring,0
844,famine,2
845,israelites,0
846,supporting,0
847,irreverence,0
848,accusation,0
849,downward,0
850,nearer,0
851,needy,0
852,bitterest,1
853,styled,0
854,renew,0
855,priestly,0
856,clothe,0
857,flit,0
858,oilofthejoints,0
859,solace,0
860,dye,0
861,frogs,0
862,tookest,0
863,mouth,5
864,grindeth,0
865,fleshless,0
866,child,2
867,lifework,0
868,conditions,5
869,shamefaced,0
870,avyaktam,0
871,pay,0
872,horses,2
873,variations,0
874,day,8
875,accord,2
876,undecaying,0
877,merciless,0
878,belieth,0
879,unholiness,0
880,vapours,0
881,painpain,0
882,protested,0
883,speaking,1
884,sparks,0
885,allencircling,0
886,deluded,0
887,rivalry,1
888,crouching,0
889,stayed,0
890,strangers,0
891,turns,1
892,someone,0
893,raising,0
894,paschal,0
895,whole,5
896,showed,1
897,chief,1
898,delicately,0
899,universal,1
900,soullife,0
901,sacred,0
902,dissembler,0
903,mansions,0
904,samadhi,0
905,facet,0
906,sacrificeth,0
907,virgin,0
908,livid,0
909,buds,0
910,renown,0
911,rude,1
912,unites,0
913,gen,0
914,naught,0
915,lack,1
916,sanctification,0
917,fire,0
918,double,0
919,unfit,0
920,stumble,0
921,ignoble,0
922,devising,0
923,resolve,0
924,sinlessness,0
925,justify,0
926,wellguarded,0
927,dwellest,0
928,unpretentious,1
929,unhampered,0
930,stirred,0
931,sinful,0
932,body,4
933,robe,0
934,outermost,0
935,fruitless,0
936,siva,0
937,slanderous,0
938,proceeding,0
939,tastes,0
940,tempest,0
941,chain,0
942,beantiful,0
943,leaves,1
944,clods,0
945,reason,4
946,apprentice,0
947,sincerely,0
948,tokens,0
949,suddenly,1
950,implies,0
951,deceive,0
952,contend,0
953,white,1
954,breadth,0
955,daytime,0
956,thrown,0
957,senators,0
958,mischiefs,0
959,expressing,0
960,pocket,0
961,tradition,0
962,blindeth,0
963,sometimes,0
964,times,1
965,arrayed,1
966,ravens,0
967,blindness,0
968,denying,0
969,nations,0
970,firesacrifice,0
971,simply,1
972,presented,0
973,dependence,0
974,meditations,0
975,cheereth,0
976,borderer,1
977,birthless,0
978,preferably,0
979,laws,1
980,penetrative,0
981,relative,0
982,plagues,0
983,vanquished,0
984,testimony,0
985,effected,2
986,letter,0
987,offendicula,0
988,frames,0
989,meditating,0
990,wicked,0
991,instance,0
992,deva,0
993,covetousness,0
994,piece,0
995,third,1
996,consecrated,0
997,potency,0
998,renewal,0
999,stick,0
1000,mightily,0
1001,harmony,4
1002,conferring,0
1003,nonexistence,1
1004,consoling,0
1005,elude,1
1006,patanjali,0
1007,godvision,0
1008,breathing,0
1009,suppresseth,0
1010,ancestor,1
1011,nosesphere,0
1012,boast,1
1013,surface,0
1014,chanted,0
1015,composed,0
1016,permeates,0
1017,judge,0
1018,choice,2
1019,brahmacharya,0
1020,obituaries,0
1021,riotous,0
1022,misfortune,0
1023,unpervaded,0
1024,dispersed,1
1025,darkness,0
1026,rebellious,0
1027,swiftness,0
1028,morning,1
1029,showing,4
1030,indigo,0
1031,mindborn,0
1032,avidya,0
1033,vineyards,0
1034,enlarged,0
1035,belief,0
1036,angels,0
1037,ant,0
1038,attended,0
1039,congregation,0
1040,rule,5
1041,characteristics,0
1042,values,0
1043,spontaneous,1
1044,simon,0
1045,sends,1
1046,accumulation,2
1047,force,3
1048,emancipation,0
1049,pitcher,0
1050,determinative,0
1051,baneful,0
1052,fighting,0
1053,fathers,0
1054,frame,0
1055,reneweth,0
1056,desirer,0
1057,disregard,0
1058,undertakes,1
1059,olden,1
1060,naturalists,0
1061,clingingsustenance,0
1062,vermilion,0
1063,shorten,0
1064,preoccupation,0
1065,clay,1
1066,dry,1
1067,imprisoned,0
1068,aloud,0
1069,entangles,0
1070,irons,0
1071,merchandise,0
1072,vayu,0
1073,reproved,0
1074,nets,0
1075,clemency,0
1076,sick,0
1077,frequent,0
1078,offereth,0
1079,hearts,0
1080,streets,0
1081,composition,0
1082,petty,0
1083,affairs,5
1084,grace,1
1085,bondages,0
1086,drunken,0
1087,snake,0
1088,crystal,0
1089,converted,0
1090,despised,1
1091,earcontact,0
1092,considering,1
1093,yoke,0
1094,plans,1
1095,rabbit,0
1096,shock,0
1097,ancient,0
1098,moved,1
1099,effective,1
1100,waning,0
1101,abhorred,0
1102,fulfil,1
1103,potent,0
1104,regular,2
1105,countervail,0
1106,therewith,1
1107,shooteth,0
1108,eaters,0
1109,unfaithfulness,0
1110,counteth,0
1111,destructible,0
1112,beats,0
1113,armour,0
1114,casting,0
1115,offended,0
1116,creatively,0
1117,amends,0
1118,remnants,1
1119,prodigies,0
1120,humiliation,0
1121,increases,1
1122,pierces,0
1123,pestle,0
1124,unestablished,0
1125,devour,0
1126,success,1
1127,desireth,0
1128,maidservants,0
1129,balance,0
1130,refresh,0
1131,darwin,0
1132,craft,0
1133,flames,0
1134,sensuality,0
1135,worshipful,0
1136,assert,2
1137,courageously,0
1138,swaddling,0
1139,still,12
1140,intent,0
1141,suffereth,0
1142,composure,0
1143,friendly,0
1144,madness,0
1145,empty,5
1146,abidingplace,0
1147,smith,0
1148,fit,1
1149,agreement,3
1150,arms,8
1151,fish,1
1152,instructeth,0
1153,migration,0
1154,bray,0
1155,possessors,0
1156,reflections,0
1157,said,8
1158,arm,1
1159,grasping,1
1160,savoring,0
1161,depth,0
1162,ear,0
1163,shepherd,0
1164,clans,1
1165,crib,0
1166,moderate,0
1167,wore,0
1168,bath,0
1169,term,0
1170,sensual,0
1171,bathman,0
1172,hating,0
1173,justice,0
1174,healed,0
1175,saw,0
1176,extending,0
1177,swearing,0
1178,repaired,0
1179,wearing,0
1180,reaps,0
1181,diligence,0
1182,storax,0
1183,repeateth,0
1184,pessimism,0
1185,indulgence,2
1186,disposest,0
1187,today,0
1188,austerities,0
1189,concentrated,0
1190,surname,0
1191,sword,1
1192,infamy,0
1193,fatherless,0
1194,prophets,0
1195,saviour,0
1196,claims,0
1197,lion,0
1198,valiant,0
1199,diverse,0
1200,rudiments,0
1201,suspected,0
1202,timeliness,1
1203,standing,1
1204,sold,0
1205,learned,2
1206,season,0
1207,lifeincreasing,1
1208,confirmed,0
1209,aright,0
1210,attracts,1
1211,unknown,0
1212,wandereth,0
1213,plies,1
1214,strategy,0
1215,mothers,0
1216,wrath,0
1217,preeminence,0
1218,notes,2
1219,craving,1
1220,commentators,0
1221,provideth,0
1222,adversaries,0
1223,members,0
1224,we,1
1225,quenching,0
1226,provoketh,0
1227,wounded,0
1228,rejects,1
1229,stroke,0
1230,believeth,0
1231,overfloweth,0
1232,stupid,2
1233,touchless,0
1234,steadfastness,0
1235,rhinoceros,2
1236,seconds,0
1237,interpreter,0
1238,bringing,0
1239,aloof,0
1240,confounded,0
1241,minister,1
1242,school,0
1243,destroyeth,0
1244,rottenness,0
1245,vibration,0
1246,instructions,1
1247,creature,0
1248,complain,0
1249,manifestly,0
1250,precept,0
1251,horrified,0
1252,partings,0
1253,bedding,0
1254,echo,0
1255,proceed,2
1256,o,0
1257,size,0
1258,jesus,0
1259,assent,0
1260,unable,0
1261,longs,0
1262,graven,0
1263,control,2
1264,desiring,0
1265,shine,1
1266,axle,1
1267,translated,0
1268,fugitives,0
1269,generally,0
1270,threeand,0
1271,safety,1
1272,aimed,0
1273,forgetfulness,0
1274,passages,0
1275,correcting,0
1276,joyfully,0
1277,form,4
1278,anytime,0
1279,indigence,0
1280,jerusalem,0
1281,escapeth,0
1282,dragon,0
1283,forsake,0
1284,detail,0
1285,withdraw,1
1286,fixedly,0
1287,series,0
1288,incontinence,0
1289,either,1
1290,obdurate,0
1291,rests,0
1292,unholy,0
1293,classify,0
1294,hears,0
1295,penetrated,0
1296,erect,0
1297,bread,0
1298,assumption,1
1299,advantageous,1
1300,merciful,0
1301,poisonous,1
1302,neck,0
1303,perfected,0
1304,officers,1
1305,coarising,0
1306,prevailed,1
1307,appointed,2
1308,vaunts,1
1309,lessening,0
1310,overtake,0
1311,regions,0
1312,commence,1
1313,beholder,0
1314,dread,1
1315,renounced,0
1316,alms,0
1317,running,0
1318,challenge,0
1319,egotism,0
1320,intermeddle,0
1321,plain,2
1322,unhappy,0
1323,nonaction,2
1324,eloquence,1
1325,profitable,1
1326,runnest,0
1327,neer,3
1328,creative,0
1329,forest,0
1330,hypocrisy,1
1331,means,1
1332,circuit,0
1333,environment,0
1334,exiled,0
1335,prophecy,0
1336,wins,0
1337,contention,0
1338,aboundeth,0
1339,brightness,3
1340,redlotus,0
1341,nettles,0
1342,restoreth,0
1343,happy,0
1344,eschew,1
1345,hedge,0
1346,chaseth,0
1347,occultism,0
1348,bracelet,0
1349,superseded,0
1350,fools,0
1351,wills,2
1352,affection,0
1353,robbers,3
1354,selective,0
1355,twelve,0
1356,dominance,0
1357,hunger,0
1358,coats,1
1359,defile,0
1360,lots,0
1361,misconduct,0
1362,limbo,0
1363,two,8
1364,mindpictures,0
1365,shoot,0
1366,henoch,0
1367,settled,0
1368,apace,0
1369,change,3
1370,follow,1
1371,irregular,0
1372,mitigate,0
1373,requirements,1
1374,suggestion,0
1375,accomplished,3
1376,mourners,0
1377,contribution,0
1378,stammering,1
1379,sifteth,0
1380,somewhat,0
1381,amenable,0
1382,rearing,0
1383,town,0
1384,auddalaki,0
1385,scrupulous,0
1386,stores,1
1387,wormwood,0
1388,notably,0
1389,resembling,0
1390,elegance,1
1391,eternally,0
1392,brought,2
1393,expanded,0
1394,endowed,0
1395,administer,2
1396,hindrance,0
1397,observeth,0
1398,roofed,0
1399,obtainable,0
1400,produced,5
1401,alert,0
1402,lifeforce,0
1403,dissonant,0
1404,xi,0
1405,lusts,1
1406,indifference,1
1407,divers,0
1408,magical,0
1409,ardent,0
1410,guarding,1
1411,delighted,0
1412,fitness,0
1413,drown,0
1414,blindly,0
1415,hateth,0
1416,idealists,0
1417,precisely,0
1418,listened,1
1419,hereafter,0
1420,asserts,1
1421,slumber,0
1422,confining,0
1423,wonders,0
1424,discover,0
1425,wood,2
1426,issueth,0
1427,linen,0
1428,realised,1
1429,everpure,0
1430,hind,0
1431,opposing,1
1432,unreleased,0
1433,might,4
1434,rehearse,0
1435,maker,0
1436,doctor,0
1437,whither,0
1438,insipid,1
1439,bloweth,0
1440,arouse,0
1441,goods,0
1442,tortured,0
1443,apart,2
1444,guile,0
1445,unquestioning,0
1446,festering,0
1447,messenger,0
1448,entertain,0
1449,rejoiceth,0
1450,externally,0
1451,wall,0
1452,inquisitive,0
1453,discovered,0
1454,believes,0
1455,sounds,0
1456,strong,10
1457,ibid,0
1458,vomiter,0
1459,proper,3
1460,aspects,1
1461,accidents,0
1462,interplay,0
1463,finer,0
1464,miraculous,0
1465,boundless,0
1466,praiseth,0
1467,unloose,1
1468,passion,0
1469,beggary,0
1470,sections,0
1471,walking,0
1472,bewildered,0
1473,sinner,0
1474,birth,2
1475,cleanness,0
1476,jaw,0
1477,thinking,2
1478,distinguishes,0
1479,stain,1
1480,clothing,0
1481,become,16
1482,who,0
1483,tarry,0
1484,count,0
1485,briars,1
1486,pilgrimage,0
1487,duties,0
1488,meanings,0
1489,fruit,1
1490,east,0
1491,quiver,0
1492,measuring,0
1493,orbit,0
1494,brother,0
1495,close,1
1496,nonbecoming,0
1497,acknowledge,0
1498,cloak,0
1499,lighting,0
1500,infamous,0
1501,long,14
1502,thee,0
1503,graves,0
1504,merge,0
1505,disorderly,0
1506,ignorances,0
1507,hoarse,1
1508,acquires,1
1509,feast,0
1510,joylessness,0
1511,pretty,0
1512,agrees,3
1513,scared,0
1514,ashes,0
1515,establishment,0
1516,momentary,0
1517,churches,0
1518,rulest,0
1519,slowest,1
1520,transformer,0
1521,unassailable,0
1522,interest,0
1523,dyer,0
1524,impatiently,0
1525,pouring,0
1526,indulge,1
1527,unbecome,0
1528,experienced,0
1529,ride,1
1530,protecting,1
1531,indiscreet,0
1532,ananda,0
1533,falleth,0
1534,completes,2
1535,feelingness,0
1536,guiding,0
1537,cure,0
1538,range,1
1539,fir,0
1540,navel,0
1541,leaving,0
1542,shameful,0
1543,establish,0
1544,charging,0
1545,flattering,1
1546,activities,0
1547,justified,0
1548,bias,0
1549,similarly,1
1550,overcometh,0
1551,mankind,0
1552,availeth,0
1553,arrows,0
1554,perpetual,0
1555,lighten,0
1556,pick,0
1557,death,17
1558,impudent,0
1559,labourers,0
1560,miraculously,0
1561,destroyed,0
1562,shouldst,0
1563,temporal,0
1564,breasts,0
1565,trustworthy,0
1566,exclude,0
1567,striving,2
1568,socalled,0
1569,discrimination,1
1570,channels,0
1571,contrary,4
1572,dispensed,0
1573,breaking,0
1574,thorns,1
1575,borroweth,0
1576,worshippers,0
1577,frighten,1
1578,unsalty,0
1579,inhibiting,0
1580,praiseworthy,0
1581,liar,0
1582,drifted,0
1583,gluttons,0
1584,field,0
1585,healthful,0
1586,sem,0
1587,chose,0
1588,reached,0
1589,unravel,2
1590,warrior,0
1591,goes,4
1592,seem,12
1593,restlessness,0
1594,movements,2
1595,commenced,1
1596,seemeth,0
1597,rebirth,0
1598,pretend,0
1599,lizard,0
1600,indescribable,0
1601,exclusive,0
1602,drunk,0
1603,sell,0
1604,lightnings,0
1605,paradise,0
1606,mine,0
1607,lamb,0
1608,feeds,0
1609,dealeth,0
1610,beginningless,0
1611,boards,0
1612,contrivances,2
1613,associate,0
1614,separated,0
1615,stripes,0
1616,employ,3
1617,forwards,0
1618,breaths,0
1619,punishment,0
1620,solomon,0
1621,imagined,0
1622,imprison,0
1623,reborn,0
1624,habits,0
1625,vow,0
1626,reprobate,0
1627,mingles,0
1628,lotibid,0
1629,ropes,0
1630,plenty,0
1631,pearl,0
1632,triumpheth,0
1633,requite,0
1634,whetted,0
1635,evaluated,0
1636,supplements,1
1637,aspect,0
1638,fashion,1
1639,wrote,0
1640,judges,0
1641,difficulties,1
1642,myriad,1
1643,clingingaggregates,0
1644,numbered,0
1645,ripples,0
1646,wait,0
1647,manifestations,0
1648,glutted,0
1649,abyss,0
1650,scan,1
1651,executing,0
1652,dislike,3
1653,obedient,0
1654,fervour,0
1655,awakened,0
1656,companionship,0
1657,poise,0
1658,marvellously,0
1659,delivered,0
1660,uphill,0
1661,warmed,1
1662,going,4
1663,implements,1
1664,fretful,0
1665,slothfulness,0
1666,veil,1
1667,countenance,0
1668,labourer,0
1669,fermentations,0
1670,continuing,1
1671,written,1
1672,allwisdom,0
1673,deserve,0
1674,offering,1
1675,commandments,0
1676,selfexpression,0
1677,impersonal,0
1678,bowed,0
