,Words,Upanishad_Counts
232,everlastingness,0
233,vestments,0
234,tale,0
235,weighed,0
236,heap,0
237,common,1
238,grove,0
239,amazed,0
240,seeks,1
241,flourished,0
242,almond,0
243,befall,1
244,rolling,0
245,exhaustion,0
246,brings,2
247,looked,0
248,resolves,0
249,places,0
250,asketh,0
251,armpit,0
252,sacrifice,17
253,quarrel,0
254,longed,0
255,stirreth,0
256,spiritual,7
257,breaks,0
258,devoureth,0
259,fragmentary,1
260,coarse,0
261,jesse,0
262,abnormal,0
263,jest,0
264,stronger,0
265,inclineth,0
266,usually,0
267,animal,0
268,roguery,0
269,tile,0
270,galaxies,0
271,drives,0
272,condemnation,0
273,renounce,0
274,acknowledgment,0
275,sat,1
276,harps,0
277,precedes,0
278,work,3
279,motions,0
280,dungcarts,0
281,arranging,0
282,waketh,0
283,hither,0
284,giveth,0
285,robberies,0
286,giants,0
287,lot,0
288,nigh,0
289,overthrow,0
290,bulk,0
291,ownership,0
292,enumerating,0
293,comparing,0
294,license,0
295,exposed,0
296,lands,1
297,stops,0
298,attribution,0
299,seducers,0
300,rose,0
301,rupa,0
302,whales,0
303,deficiency,0
304,poetry,0
305,honoured,0
306,ram,0
307,merchants,0
308,insatiable,1
309,waxes,0
310,paramatman,1
311,shineth,0
312,husbandman,0
313,fidelity,0
314,vacancy,0
315,absorbing,0
316,preserver,1
317,reward,2
318,stumbling,0
319,lightens,0
320,past,4
321,surrender,1
322,scandal,0
323,unnoticed,0
324,excellence,0
325,entity,0
326,promise,1
327,potencies,0
328,astronomer,0
329,overturneth,0
330,saved,0
331,familiarly,0
332,lifechannels,0
333,selfrealization,0
334,mocker,0
335,table,0
336,wandered,0
337,located,0
338,mould,0
339,think,11
340,filthiness,0
341,perhaps,0
342,welling,0
343,links,0
344,swallow,0
345,grandest,0
346,womb,1
347,arose,0
348,theft,0
349,watered,0
350,spoke,0
351,ripe,0
352,drifting,0
353,torments,0
354,warm,0
355,hunter,0
356,examines,1
357,prajapati,1
358,thief,0
359,expends,0
360,devotion,0
361,practising,0
362,lions,0
363,cluster,0
364,vanishing,1
365,shrinks,1
366,resting,0
367,irritated,1
368,grant,0
369,application,1
370,planter,0
371,portions,0
372,robes,0
373,takes,3
374,disinterested,0
375,youth,0
376,workmaster,0
377,joints,0
378,projections,1
379,stalk,1
380,supplement,0
381,delusion,4
382,smothers,0
383,disorder,0
384,married,0
385,employments,0
386,imitate,0
387,sheweth,0
388,crossed,1
389,firstfruits,0
390,poured,0
391,blemish,0
392,intestines,0
393,withdrawal,0
394,signs,0
395,quieted,1
396,thefts,0
397,high,0
398,luxuriant,0
399,endowment,0
400,differentiate,1
401,striking,0
402,promised,0
403,acquaint,0
404,out,0
405,caused,0
406,reservoir,0
407,sign,0
408,dependent,1
409,crosses,3
410,antetype,0
411,thunder,0
412,examined,0
413,easily,2
414,claiming,0
415,forsaken,0
416,touching,1
417,resistance,0
418,villager,0
419,redeemed,0
420,stress,0
421,haughtiness,0
422,keep,1
423,revealeth,0
424,concupiscence,0
425,selfconscious,0
426,better,1
427,dreamless,0
428,aggregates,0
429,displayed,0
430,mahomet,0
431,mocketh,0
432,pleasant,7
433,illusion,0
434,dissolved,0
435,dhamma,0
436,identity,0
437,costly,0
438,separation,0
439,frivolous,0
440,laughingstock,0
441,borders,0
442,feign,0
443,sendeth,0
444,penetrable,0
445,disgraced,0
446,steadies,0
447,equivalent,0
448,ministry,0
449,begged,1
450,enlighteneth,0
451,thence,0
452,ceaselessly,0
453,crouch,0
454,driver,8
455,full,5
456,ants,0
457,affirmations,0
458,discomfort,0
459,joining,0
460,flax,0
461,intuitional,0
462,perverteth,0
463,club,0
464,causes,0
465,grape,0
466,embodying,0
467,sinews,1
468,needles,0
469,knows,32
470,nowhere,0
471,houses,1
472,basin,0
473,employment,0
474,expedient,0
475,omen,0
476,flushes,0
477,naming,1
478,murders,0
479,temperate,0
480,morsel,0
481,spirit,7
482,diviner,0
483,magnified,0
484,brimful,0
485,base,0
486,flash,2
487,knowers,2
488,artificers,0
489,root,2
490,whirlwinds,0
491,laden,0
492,disciples,0
493,referred,1
494,channel,1
495,food,3
496,accrue,0
497,schismatical,0
498,ago,0
499,burn,3
500,equanimous,0
501,purpose,3
502,pratyagatman,1
503,whilst,0
504,goal,11
505,theory,1
506,departs,0
507,fleetness,1
508,compare,0
509,opposition,0
510,distress,0
511,incensed,0
512,getteth,0
513,sansara,0
514,thrust,0
515,merely,7
516,advantage,0
517,worship,13
518,forgeth,0
519,wilful,0
520,pentapolis,0
521,vigour,2
522,churlishness,0
523,interior,0
524,contradistinction,0
525,honours,0
526,sureties,0
527,cattle,3
528,temporary,1
529,murder,0
530,condition,2
531,concerned,1
532,marbles,0
533,chosen,2
534,upanishads,0
535,creatures,2
536,live,12
537,naturalist,0
538,tabernacles,0
539,sully,0
540,definite,3
541,measure,0
542,position,2
543,hot,0
544,practice,8
545,doings,0
546,explain,0
547,farreaching,0
548,attribute,0
549,minutest,1
550,unwinding,0
551,naves,0
552,longlived,0
553,urinating,0
554,shalt,0
555,earnest,0
556,electrons,1
557,nights,1
558,cheerful,0
559,contemplation,0
560,obtained,1
561,net,1
562,bound,1
563,herb,0
564,brahmana,5
565,thou,28
566,savatthi,0
567,torrent,0
568,coordinated,1
569,blood,0
570,spacious,0
571,perverse,0
572,admonish,0
573,simpler,0
574,complete,1
575,wrestled,0
576,bashfulness,0
577,dares,0
578,manifested,13
579,assemblies,0
580,holocaust,0
581,awakes,0
582,wronging,0
583,counts,1
584,manifold,1
585,emblem,0
586,meddle,0
587,continent,0
588,submit,0
589,excessive,0
590,moving,1
591,surely,0
592,nest,0
593,extremes,0
594,nostrils,1
595,analysis,0
596,delighteth,0
597,blamed,0
598,wave,1
599,accused,0
600,palate,0
601,amended,0
602,cessation,0
603,complaint,0
604,lending,0
605,allknowing,2
606,lift,1
607,inclining,0
608,briefly,1
609,nexus,0
610,thing,4
611,assuredly,0
612,gait,0
613,meddleth,0
614,lifespan,0
615,tilleth,0
616,accustoming,0
617,bowels,0
618,wordsworth,0
619,correction,0
620,conquers,1
621,notices,0
622,searched,0
623,lovedst,0
624,loud,0
625,reacheth,0
626,greed,0
627,swords,0
628,meddling,0
629,sutras,0
630,angelic,2
631,entreaty,0
632,semblance,0
633,materialistic,0
634,concurring,0
635,retailer,0
636,feces,0
637,lovest,0
638,classified,0
639,prayest,0
640,arrogancy,0
641,thinly,0
642,deserveth,0
643,unwearying,0
644,pleasures,4
645,remembers,1
646,orderly,0
647,sustained,0
648,knoweth,0
649,doom,0
650,total,0
651,rewards,1
652,subtlest,1
653,err,0
654,vantage,0
655,dealer,0
656,reflecting,0
657,bud,0
658,mourn,0
659,negligence,0
660,egyptians,0
661,renowned,0
662,ceased,0
663,retract,0
664,reckoned,0
665,emotions,0
666,neglecteth,0
667,maintaineth,0
668,placed,2
669,ensnared,0
670,spiritually,1
671,solution,0
672,kinds,0
673,jivas,1
674,tonguesphere,0
675,beautified,0
676,parting,0
677,quality,1
678,fulfilment,2
679,moves,4
680,showers,0
681,nine,0
682,troubleth,0
683,nutriments,0
684,mingling,0
685,resemblances,0
686,train,0
687,examine,0
688,niggardliness,0
689,gain,6
690,byword,0
691,secondary,0
692,perish,2
693,stage,0
694,luminous,0
695,waged,0
696,attention,1
697,shrine,0
698,spent,0
699,procedure,0
700,stressfulness,0
701,ancients,0
702,contemplatives,0
703,confoundeth,0
704,centres,0
705,unanimous,0
706,eloquent,0
707,commentator,1
708,becoming,0
709,uneasy,0
710,stability,0
711,elegantlooking,0
712,shin,0
713,divinity,1
714,major,0
715,sakes,0
716,beating,0
717,region,0
718,mitigated,0
719,impudence,0
720,worldview,0
721,divines,0
722,blossoms,0
723,qualities,2
724,removeth,0
725,ferreted,0
726,centre,2
727,revealer,1
728,creates,0
729,denoting,0
730,perceive,13
731,contemplative,0
732,for,0
733,undivided,0
734,coins,0
735,birds,0
736,smallest,1
737,dart,0
738,possessed,2
739,inclines,0
740,thinks,10
741,everlasting,2
742,side,0
743,beholds,2
744,temper,0
745,plant,0
746,overturned,0
747,beds,0
748,physician,0
749,remnant,0
750,forward,1
751,candy,0
752,rapines,0
753,hinges,0
754,remote,0
755,teachings,0
756,distance,0
757,wronged,0
758,realized,6
759,gautama,2
760,draweth,0
761,mayest,1
762,seldom,0
763,unmanageable,1
764,simile,0
765,posts,0
766,real,16
767,snorteth,0
768,faster,1
769,mockery,0
770,inculcate,0
771,hides,0
772,vessels,0
773,anteroom,0
774,carrying,0
775,hired,0
776,blissful,1
777,procure,0
778,vanquishes,0
779,objects,15
780,kinsman,0
781,fivefold,0
782,mahat,0
783,mitre,0
784,kindly,0
785,insist,0
786,sent,1
787,fourfold,0
788,onepointedness,0
789,sudden,2
790,forecasteth,0
791,mortal,20
792,petition,0
793,named,1
794,disclose,0
795,observer,0
796,fourth,1
797,chooseth,0
798,trembled,0
799,onias,0
800,bethhoron,0
801,rest,4
802,book,0
803,paradoxical,0
804,betweenthetwo,0
805,calculates,0
806,good,11
807,kindleth,0
808,visit,0
809,purged,0
810,voices,0
811,supremacy,0
812,upholds,0
813,encompassed,0
814,oath,0
815,coat,0
816,grain,2
817,kids,0
818,sackcloth,0
819,likeness,0
820,reproducing,0
821,christ,1
822,tyranny,0
823,injustices,0
824,flight,0
825,overwhelmeth,0
826,method,1
827,devised,0
828,actings,0
829,spark,0
830,feed,0
831,unthankful,0
832,much,2
833,property,0
834,altar,4
835,changeable,1
836,drinking,0
837,risen,0
838,sky,0
839,original,0
840,persecutors,0
841,hide,0
842,tendons,0
843,earring,0
844,famine,0
845,israelites,0
846,supporting,0
847,irreverence,0
848,accusation,0
849,downward,3
850,nearer,1
851,needy,0
852,bitterest,0
853,styled,0
854,renew,0
855,priestly,0
856,clothe,0
857,flit,0
858,oilofthejoints,0
859,solace,0
860,dye,0
861,frogs,0
862,tookest,0
863,mouth,3
864,grindeth,0
865,fleshless,0
866,child,1
867,lifework,0
868,conditions,1
869,shamefaced,0
870,avyaktam,1
871,pay,0
872,horses,9
873,variations,0
874,day,3
875,accord,1
876,undecaying,2
877,merciless,0
878,belieth,0
879,unholiness,0
880,vapours,0
881,painpain,0
882,protested,0
883,speaking,1
884,sparks,0
885,allencircling,1
886,deluded,2
887,rivalry,0
888,crouching,0
889,stayed,0
890,strangers,0
891,turns,1
892,someone,0
893,raising,0
894,paschal,0
895,whole,12
896,showed,0
897,chief,0
898,delicately,0
899,universal,2
900,soullife,0
901,sacred,1
902,dissembler,0
903,mansions,0
904,samadhi,0
905,facet,0
906,sacrificeth,0
907,virgin,0
908,livid,0
909,buds,0
910,renown,0
911,rude,0
912,unites,1
913,gen,0
914,naught,0
915,lack,1
916,sanctification,0
917,fire,27
918,double,0
919,unfit,0
920,stumble,0
921,ignoble,0
922,devising,0
923,resolve,1
924,sinlessness,0
925,justify,0
926,wellguarded,1
927,dwellest,0
928,unpretentious,0
929,unhampered,0
930,stirred,0
931,sinful,0
932,body,30
933,robe,0
934,outermost,0
935,fruitless,0
936,siva,1
937,slanderous,0
938,proceeding,0
939,tastes,0
940,tempest,0
941,chain,0
942,beantiful,0
943,leaves,0
944,clods,0
945,reason,5
946,apprentice,0
947,sincerely,0
948,tokens,0
949,suddenly,0
950,implies,1
951,deceive,0
952,contend,0
953,white,0
954,breadth,0
955,daytime,0
956,thrown,0
957,senators,0
958,mischiefs,0
959,expressing,0
960,pocket,0
961,tradition,0
962,blindeth,0
963,sometimes,0
964,times,3
965,arrayed,0
966,ravens,0
967,blindness,0
968,denying,0
969,nations,0
970,firesacrifice,7
971,simply,0
972,presented,0
973,dependence,0
974,meditations,0
975,cheereth,0
976,borderer,0
977,birthless,1
978,preferably,0
979,laws,0
980,penetrative,0
981,relative,1
982,plagues,0
983,vanquished,0
984,testimony,0
985,effected,0
986,letter,2
987,offendicula,0
988,frames,0
989,meditating,1
990,wicked,0
991,instance,0
992,deva,1
993,covetousness,0
994,piece,0
995,third,6
996,consecrated,1
997,potency,0
998,renewal,0
999,stick,0
1000,mightily,0
1001,harmony,0
1002,conferring,0
1003,nonexistence,0
1004,consoling,0
1005,elude,0
1006,patanjali,0
1007,godvision,1
1008,breathing,1
1009,suppresseth,0
1010,ancestor,0
1011,nosesphere,0
1012,boast,0
1013,surface,0
1014,chanted,1
1015,composed,0
1016,permeates,0
1017,judge,2
1018,choice,0
1019,brahmacharya,1
1020,obituaries,0
1021,riotous,0
1022,misfortune,1
1023,unpervaded,0
1024,dispersed,0
1025,darkness,9
1026,rebellious,0
1027,swiftness,1
1028,morning,0
1029,showing,0
1030,indigo,0
1031,mindborn,0
1032,avidya,6
1033,vineyards,0
1034,enlarged,0
1035,belief,1
1036,angels,0
1037,ant,0
1038,attended,0
1039,congregation,0
1040,rule,0
1041,characteristics,0
1042,values,0
1043,spontaneous,0
1044,simon,0
1045,sends,3
1046,accumulation,0
1047,force,1
1048,emancipation,0
1049,pitcher,0
1050,determinative,2
1051,baneful,0
1052,fighting,0
1053,fathers,2
1054,frame,0
1055,reneweth,0
1056,desirer,1
1057,disregard,0
1058,undertakes,0
1059,olden,0
1060,naturalists,0
1061,clingingsustenance,0
1062,vermilion,0
1063,shorten,0
1064,preoccupation,0
1065,clay,0
1066,dry,0
1067,imprisoned,0
1068,aloud,0
1069,entangles,0
1070,irons,0
1071,merchandise,0
1072,vayu,9
1073,reproved,0
1074,nets,0
1075,clemency,0
1076,sick,0
1077,frequent,1
1078,offereth,0
1079,hearts,3
1080,streets,0
1081,composition,0
1082,petty,0
1083,affairs,0
1084,grace,1
1085,bondages,0
1086,drunken,0
1087,snake,0
1088,crystal,0
1089,converted,0
1090,despised,0
1091,earcontact,0
1092,considering,0
1093,yoke,0
1094,plans,0
1095,rabbit,0
1096,shock,0
1097,ancient,6
1098,moved,1
1099,effective,0
1100,waning,1
1101,abhorred,0
1102,fulfil,0
1103,potent,0
1104,regular,0
1105,countervail,0
1106,therewith,0
1107,shooteth,0
1108,eaters,0
1109,unfaithfulness,0
1110,counteth,0
1111,destructible,2
1112,beats,0
1113,armour,0
1114,casting,0
1115,offended,0
1116,creatively,0
1117,amends,0
1118,remnants,0
1119,prodigies,0
1120,humiliation,0
1121,increases,1
1122,pierces,0
1123,pestle,0
1124,unestablished,0
1125,devour,0
1126,success,0
1127,desireth,0
1128,maidservants,0
1129,balance,0
1130,refresh,0
1131,darwin,0
1132,craft,0
1133,flames,0
1134,sensuality,1
1135,worshipful,2
1136,assert,0
1137,courageously,0
1138,swaddling,0
1139,still,4
1140,intent,0
1141,suffereth,0
1142,composure,0
1143,friendly,0
1144,madness,0
1145,empty,0
1146,abidingplace,2
1147,smith,0
1148,fit,1
1149,agreement,0
1150,arms,0
1151,fish,0
1152,instructeth,0
1153,migration,0
1154,bray,0
1155,possessors,0
1156,reflections,2
1157,said,41
1158,arm,0
1159,grasping,0
1160,savoring,0
1161,depth,1
1162,ear,8
1163,shepherd,0
1164,clans,0
1165,crib,0
1166,moderate,0
1167,wore,0
1168,bath,0
1169,term,1
1170,sensual,0
1171,bathman,0
1172,hating,0
1173,justice,0
1174,healed,0
1175,saw,1
1176,extending,0
1177,swearing,0
1178,repaired,0
1179,wearing,0
1180,reaps,1
1181,diligence,0
1182,storax,0
1183,repeateth,0
1184,pessimism,0
1185,indulgence,0
1186,disposest,0
1187,today,1
1188,austerities,1
1189,concentrated,0
1190,surname,0
1191,sword,0
1192,infamy,0
1193,fatherless,0
1194,prophets,0
1195,saviour,0
1196,claims,1
1197,lion,0
1198,valiant,0
1199,diverse,0
1200,rudiments,0
1201,suspected,0
1202,timeliness,0
1203,standing,1
1204,sold,0
1205,learned,3
1206,season,0
1207,lifeincreasing,0
1208,confirmed,0
1209,aright,0
1210,attracts,0
1211,unknown,6
1212,wandereth,0
1213,plies,0
1214,strategy,0
1215,mothers,0
1216,wrath,1
1217,preeminence,0
1218,notes,0
1219,craving,1
1220,commentators,0
1221,provideth,0
1222,adversaries,0
1223,members,1
1224,we,0
1225,quenching,0
1226,provoketh,0
1227,wounded,0
1228,rejects,0
1229,stroke,0
1230,believeth,0
1231,overfloweth,0
1232,stupid,0
1233,touchless,1
1234,steadfastness,0
1235,rhinoceros,0
1236,seconds,0
1237,interpreter,0
1238,bringing,0
1239,aloof,0
1240,confounded,1
1241,minister,0
1242,school,0
1243,destroyeth,0
1244,rottenness,0
1245,vibration,0
1246,instructions,1
1247,creature,1
1248,complain,0
1249,manifestly,0
1250,precept,0
1251,horrified,0
1252,partings,0
1253,bedding,0
1254,echo,0
1255,proceed,0
1256,o,0
1257,size,6
1258,jesus,0
1259,assent,0
1260,unable,2
1261,longs,2
1262,graven,0
1263,control,11
1264,desiring,2
1265,shine,6
1266,axle,0
1267,translated,0
1268,fugitives,0
1269,generally,0
1270,threeand,0
1271,safety,0
1272,aimed,0
1273,forgetfulness,0
1274,passages,0
1275,correcting,0
1276,joyfully,0
1277,form,27
1278,anytime,0
1279,indigence,0
1280,jerusalem,0
1281,escapeth,0
1282,dragon,0
1283,forsake,0
1284,detail,0
1285,withdraw,1
1286,fixedly,0
1287,series,0
1288,incontinence,0
1289,either,0
1290,obdurate,0
1291,rests,1
1292,unholy,0
1293,classify,0
1294,hears,3
1295,penetrated,0
1296,erect,0
1297,bread,0
1298,assumption,0
1299,advantageous,0
1300,merciful,0
1301,poisonous,0
1302,neck,0
1303,perfected,0
1304,officers,0
1305,coarising,0
1306,prevailed,0
1307,appointed,0
1308,vaunts,0
1309,lessening,0
1310,overtake,2
1311,regions,1
1312,commence,0
1313,beholder,0
1314,dread,0
1315,renounced,2
1316,alms,0
1317,running,1
1318,challenge,0
1319,egotism,0
1320,intermeddle,0
1321,plain,1
1322,unhappy,0
1323,nonaction,0
1324,eloquence,0
1325,profitable,0
1326,runnest,0
1327,neer,0
1328,creative,2
1329,forest,0
1330,hypocrisy,0
1331,means,8
1332,circuit,0
1333,environment,1
1334,exiled,0
1335,prophecy,0
1336,wins,0
1337,contention,0
1338,aboundeth,0
1339,brightness,0
1340,redlotus,0
1341,nettles,0
1342,restoreth,0
1343,happy,1
1344,eschew,0
1345,hedge,0
1346,chaseth,0
1347,occultism,0
1348,bracelet,0
1349,superseded,0
1350,fools,1
1351,wills,1
1352,affection,0
1353,robbers,0
1354,selective,0
1355,twelve,1
1356,dominance,0
1357,hunger,1
1358,coats,0
1359,defile,1
1360,lots,0
1361,misconduct,0
1362,limbo,0
1363,two,16
1364,mindpictures,0
1365,shoot,0
1366,henoch,0
1367,settled,0
1368,apace,0
1369,change,2
1370,follow,7
1371,irregular,0
1372,mitigate,0
1373,requirements,0
1374,suggestion,0
1375,accomplished,2
1376,mourners,0
1377,contribution,0
1378,stammering,0
1379,sifteth,0
1380,somewhat,1
1381,amenable,0
1382,rearing,0
1383,town,0
1384,auddalaki,1
1385,scrupulous,0
1386,stores,0
1387,wormwood,0
1388,notably,0
1389,resembling,0
1390,elegance,0
1391,eternally,1
1392,brought,2
1393,expanded,0
1394,endowed,0
1395,administer,0
1396,hindrance,0
1397,observeth,0
1398,roofed,0
1399,obtainable,1
1400,produced,0
1401,alert,0
1402,lifeforce,2
1403,dissonant,0
1404,xi,1
1405,lusts,0
1406,indifference,0
1407,divers,0
1408,magical,0
1409,ardent,0
1410,guarding,0
1411,delighted,0
1412,fitness,0
1413,drown,0
1414,blindly,1
1415,hateth,0
1416,idealists,0
1417,precisely,0
1418,listened,2
1419,hereafter,5
1420,asserts,0
1421,slumber,1
1422,confining,0
1423,wonders,0
1424,discover,0
1425,wood,1
1426,issueth,0
1427,linen,0
1428,realised,0
1429,everpure,1
1430,hind,0
1431,opposing,0
1432,unreleased,0
1433,might,2
1434,rehearse,0
1435,maker,0
1436,doctor,0
1437,whither,1
1438,insipid,0
1439,bloweth,0
1440,arouse,0
1441,goods,0
1442,tortured,0
1443,apart,1
1444,guile,0
1445,unquestioning,1
1446,festering,0
1447,messenger,0
1448,entertain,0
1449,rejoiceth,0
1450,externally,0
1451,wall,0
1452,inquisitive,0
1453,discovered,2
1454,believes,0
1455,sounds,1
1456,strong,1
1457,ibid,0
1458,vomiter,0
1459,proper,2
1460,aspects,3
1461,accidents,0
1462,interplay,0
1463,finer,1
1464,miraculous,0
1465,boundless,1
1466,praiseth,0
1467,unloose,0
1468,passion,0
1469,beggary,0
1470,sections,0
1471,walking,0
1472,bewildered,0
1473,sinner,0
1474,birth,7
1475,cleanness,0
1476,jaw,0
1477,thinking,2
1478,distinguishes,1
1479,stain,0
1480,clothing,0
1481,become,10
1482,who,0
1483,tarry,0
1484,count,0
1485,briars,0
1486,pilgrimage,0
1487,duties,0
1488,meanings,0
1489,fruit,3
1490,east,0
1491,quiver,0
1492,measuring,0
1493,orbit,0
1494,brother,0
1495,close,0
1496,nonbecoming,0
1497,acknowledge,0
1498,cloak,0
1499,lighting,0
1500,infamous,0
1501,long,10
1502,thee,29
1503,graves,0
1504,merge,0
1505,disorderly,0
1506,ignorances,0
1507,hoarse,0
1508,acquires,2
1509,feast,0
1510,joylessness,1
1511,pretty,0
1512,agrees,0
1513,scared,0
1514,ashes,2
1515,establishment,0
1516,momentary,2
1517,churches,0
1518,rulest,1
1519,slowest,0
1520,transformer,1
1521,unassailable,0
1522,interest,0
1523,dyer,0
1524,impatiently,1
1525,pouring,0
1526,indulge,0
1527,unbecome,0
1528,experienced,0
1529,ride,0
1530,protecting,0
1531,indiscreet,0
1532,ananda,0
1533,falleth,0
1534,completes,0
1535,feelingness,0
1536,guiding,1
1537,cure,0
1538,range,1
1539,fir,0
1540,navel,1
1541,leaving,2
1542,shameful,0
1543,establish,0
1544,charging,0
1545,flattering,0
1546,activities,0
1547,justified,0
1548,bias,0
1549,similarly,4
1550,overcometh,0
1551,mankind,0
1552,availeth,0
1553,arrows,0
1554,perpetual,0
1555,lighten,0
1556,pick,0
1557,death,56
1558,impudent,0
1559,labourers,0
1560,miraculously,0
1561,destroyed,4
1562,shouldst,0
1563,temporal,0
1564,breasts,0
1565,trustworthy,0
1566,exclude,0
1567,striving,0
1568,socalled,0
1569,discrimination,12
1570,channels,2
1571,contrary,0
1572,dispensed,0
1573,breaking,0
1574,thorns,0
1575,borroweth,0
1576,worshippers,0
1577,frighten,0
1578,unsalty,0
1579,inhibiting,0
1580,praiseworthy,1
1581,liar,0
1582,drifted,0
1583,gluttons,0
1584,field,1
1585,healthful,0
1586,sem,0
1587,chose,0
1588,reached,4
1589,unravel,0
1590,warrior,0
1591,goes,14
1592,seem,3
1593,restlessness,0
1594,movements,0
1595,commenced,0
1596,seemeth,0
1597,rebirth,0
1598,pretend,0
1599,lizard,0
1600,indescribable,2
1601,exclusive,1
1602,drunk,1
1603,sell,0
1604,lightnings,0
1605,paradise,0
1606,mine,0
1607,lamb,0
1608,feeds,0
1609,dealeth,0
1610,beginningless,1
1611,boards,0
1612,contrivances,0
1613,associate,0
1614,separated,2
1615,stripes,0
1616,employ,0
1617,forwards,0
1618,breaths,0
1619,punishment,1
1620,solomon,0
1621,imagined,0
1622,imprison,0
1623,reborn,1
1624,habits,0
1625,vow,0
1626,reprobate,0
1627,mingles,0
1628,lotibid,0
1629,ropes,0
1630,plenty,0
1631,pearl,0
1632,triumpheth,0
1633,requite,0
1634,whetted,0
1635,evaluated,0
1636,supplements,0
1637,aspect,1
1638,fashion,0
1639,wrote,0
1640,judges,0
1641,difficulties,0
1642,myriad,0
1643,clingingaggregates,0
1644,numbered,0
1645,ripples,1
1646,wait,0
1647,manifestations,1
1648,glutted,0
1649,abyss,0
1650,scan,0
1651,executing,0
1652,dislike,0
1653,obedient,0
1654,fervour,0
1655,awakened,1
1656,companionship,0
1657,poise,0
1658,marvellously,0
1659,delivered,0
1660,uphill,0
1661,warmed,0
1662,going,2
1663,implements,0
1664,fretful,0
1665,slothfulness,0
1666,veil,0
1667,countenance,0
1668,labourer,0
1669,fermentations,0
1670,continuing,0
1671,written,0
1672,allwisdom,0
1673,deserve,0
1674,offering,2
1675,commandments,0
1676,selfexpression,0
1677,impersonal,0
1678,bowed,0
