,Words,YogaSutra_Counts
915,lack,0
916,sanctification,0
917,fire,13
918,double,2
919,unfit,1
920,stumble,1
921,ignoble,0
922,devising,0
923,resolve,0
924,sinlessness,1
925,justify,0
926,wellguarded,0
927,dwellest,0
928,unpretentious,0
929,unhampered,0
930,stirred,0
931,sinful,0
932,body,52
933,robe,0
934,outermost,2
935,fruitless,0
936,siva,0
937,slanderous,0
938,proceeding,0
939,tastes,0
940,tempest,0
941,chain,0
942,beantiful,0
943,leaves,1
944,clods,1
945,reason,4
946,apprentice,0
947,sincerely,1
948,tokens,0
949,suddenly,3
950,implies,1
951,deceive,0
952,contend,0
953,white,4
954,breadth,0
955,daytime,0
956,thrown,1
957,senators,0
958,mischiefs,0
959,expressing,1
960,pocket,1
961,tradition,1
962,blindeth,0
963,sometimes,1
964,times,8
965,arrayed,0
966,ravens,0
967,blindness,4
968,denying,1
969,nations,1
970,firesacrifice,0
971,simply,2
972,presented,1
973,dependence,0
974,meditations,1
975,cheereth,0
976,borderer,0
977,birthless,0
978,preferably,0
979,laws,9
980,penetrative,0
981,relative,0
982,plagues,0
983,vanquished,1
984,testimony,6
985,effected,0
986,letter,0
987,offendicula,0
988,frames,0
989,meditating,0
990,wicked,0
991,instance,1
992,deva,0
993,covetousness,4
994,piece,0
995,third,8
996,consecrated,0
997,potency,1
998,renewal,1
999,stick,0
1000,mightily,0
1001,harmony,8
1002,conferring,1
1003,nonexistence,0
1004,consoling,1
1005,elude,0
1006,patanjali,6
1007,godvision,0
1008,breathing,5
1009,suppresseth,0
1010,ancestor,0
1011,nosesphere,0
1012,boast,0
1013,surface,3
1014,chanted,0
1015,composed,0
1016,permeates,0
1017,judge,0
1018,choice,2
1019,brahmacharya,0
1020,obituaries,1
1021,riotous,0
1022,misfortune,0
1023,unpervaded,0
1024,dispersed,0
1025,darkness,15
1026,rebellious,0
1027,swiftness,1
1028,morning,1
1029,showing,2
1030,indigo,0
1031,mindborn,1
1032,avidya,0
1033,vineyards,0
1034,enlarged,1
1035,belief,1
1036,angels,4
1037,ant,0
1038,attended,0
1039,congregation,0
1040,rule,3
1041,characteristics,4
1042,values,1
1043,spontaneous,0
1044,simon,0
1045,sends,1
1046,accumulation,0
1047,force,33
1048,emancipation,0
1049,pitcher,0
1050,determinative,0
1051,baneful,1
1052,fighting,1
1053,fathers,0
1054,frame,1
1055,reneweth,0
1056,desirer,0
1057,disregard,1
1058,undertakes,0
1059,olden,0
1060,naturalists,1
1061,clingingsustenance,0
1062,vermilion,0
1063,shorten,0
1064,preoccupation,1
1065,clay,0
1066,dry,4
1067,imprisoned,0
1068,aloud,0
1069,entangles,1
1070,irons,0
1071,merchandise,0
1072,vayu,0
1073,reproved,0
1074,nets,2
1075,clemency,0
1076,sick,0
1077,frequent,0
1078,offereth,0
1079,hearts,3
1080,streets,0
1081,composition,0
1082,petty,1
1083,affairs,0
1084,grace,2
1085,bondages,1
1086,drunken,0
1087,snake,0
1088,crystal,1
1089,converted,0
1090,despised,0
1091,earcontact,0
1092,considering,6
1093,yoke,0
1094,plans,1
1095,rabbit,0
1096,shock,1
1097,ancient,3
1098,moved,0
1099,effective,3
1100,waning,0
1101,abhorred,0
1102,fulfil,1
1103,potent,1
1104,regular,0
1105,countervail,0
1106,therewith,1
1107,shooteth,0
1108,eaters,0
1109,unfaithfulness,0
1110,counteth,0
1111,destructible,0
1112,beats,0
1113,armour,1
1114,casting,0
1115,offended,0
1116,creatively,2
1117,amends,0
1118,remnants,0
1119,prodigies,0
1120,humiliation,0
1121,increases,0
1122,pierces,1
1123,pestle,0
1124,unestablished,0
1125,devour,0
1126,success,1
1127,desireth,0
1128,maidservants,0
1129,balance,1
1130,refresh,0
1131,darwin,4
1132,craft,0
1133,flames,0
1134,sensuality,1
1135,worshipful,0
1136,assert,1
1137,courageously,2
1138,swaddling,0
1139,still,18
1140,intent,1
1141,suffereth,0
1142,composure,0
1143,friendly,0
1144,madness,0
1145,empty,1
1146,abidingplace,0
1147,smith,0
1148,fit,1
1149,agreement,0
1150,arms,0
1151,fish,0
1152,instructeth,0
1153,migration,1
1154,bray,0
1155,possessors,0
1156,reflections,3
1157,said,35
1158,arm,0
1159,grasping,0
1160,savoring,0
1161,depth,0
1162,ear,3
1163,shepherd,0
1164,clans,0
1165,crib,0
1166,moderate,0
1167,wore,0
1168,bath,0
1169,term,1
1170,sensual,1
1171,bathman,0
1172,hating,1
1173,justice,0
1174,healed,0
1175,saw,3
1176,extending,2
1177,swearing,0
1178,repaired,0
1179,wearing,2
1180,reaps,0
1181,diligence,0
1182,storax,0
1183,repeateth,0
1184,pessimism,2
1185,indulgence,5
1186,disposest,0
1187,today,3
1188,austerities,0
1189,concentrated,10
1190,surname,0
1191,sword,2
1192,infamy,0
1193,fatherless,0
1194,prophets,0
1195,saviour,0
1196,claims,1
1197,lion,0
1198,valiant,0
1199,diverse,0
1200,rudiments,1
1201,suspected,0
1202,timeliness,0
1203,standing,5
1204,sold,0
1205,learned,6
1206,season,0
1207,lifeincreasing,0
1208,confirmed,0
1209,aright,0
1210,attracts,0
1211,unknown,1
1212,wandereth,0
1213,plies,0
1214,strategy,1
1215,mothers,0
1216,wrath,3
1217,preeminence,0
1218,notes,0
1219,craving,2
1220,commentators,0
1221,provideth,0
1222,adversaries,0
1223,members,1
1224,we,0
1225,quenching,0
1226,provoketh,0
1227,wounded,0
1228,rejects,0
1229,stroke,0
1230,believeth,0
1231,overfloweth,0
1232,stupid,0
1233,touchless,0
1234,steadfastness,1
1235,rhinoceros,0
1236,seconds,1
1237,interpreter,0
1238,bringing,6
1239,aloof,0
1240,confounded,1
1241,minister,1
1242,school,1
1243,destroyeth,0
1244,rottenness,0
1245,vibration,1
1246,instructions,0
1247,creature,0
1248,complain,0
1249,manifestly,1
1250,precept,0
1251,horrified,0
1252,partings,1
1253,bedding,0
1254,echo,0
1255,proceed,2
1256,o,0
1257,size,0
1258,jesus,1
1259,assent,1
1260,unable,2
1261,longs,0
1262,graven,0
1263,control,21
1264,desiring,2
1265,shine,3
1266,axle,0
1267,translated,2
1268,fugitives,0
1269,generally,1
1270,threeand,1
1271,safety,1
1272,aimed,0
1273,forgetfulness,0
1274,passages,2
1275,correcting,1
1276,joyfully,0
1277,form,25
1278,anytime,0
1279,indigence,0
1280,jerusalem,0
1281,escapeth,0
1282,dragon,0
1283,forsake,0
1284,detail,3
1285,withdraw,0
1286,fixedly,1
1287,series,6
1288,incontinence,1
1289,either,8
1290,obdurate,1
1291,rests,11
1292,unholy,3
1293,classify,2
1294,hears,5
1295,penetrated,0
1296,erect,0
1297,bread,0
1298,assumption,0
1299,advantageous,0
1300,merciful,0
1301,poisonous,1
1302,neck,1
1303,perfected,4
1304,officers,0
1305,coarising,0
1306,prevailed,0
1307,appointed,0
1308,vaunts,0
1309,lessening,0
1310,overtake,1
1311,regions,0
1312,commence,0
1313,beholder,1
1314,dread,1
1315,renounced,0
1316,alms,0
1317,running,0
1318,challenge,0
1319,egotism,5
1320,intermeddle,0
1321,plain,0
1322,unhappy,0
1323,nonaction,0
1324,eloquence,0
1325,profitable,0
1326,runnest,0
1327,neer,0
1328,creative,15
1329,forest,1
1330,hypocrisy,0
1331,means,29
1332,circuit,1
1333,environment,0
1334,exiled,0
1335,prophecy,0
1336,wins,1
1337,contention,2
1338,aboundeth,0
1339,brightness,0
1340,redlotus,0
1341,nettles,0
1342,restoreth,0
1343,happy,3
1344,eschew,0
1345,hedge,0
1346,chaseth,0
1347,occultism,1
1348,bracelet,0
1349,superseded,1
1350,fools,0
1351,wills,3
1352,affection,0
1353,robbers,0
1354,selective,2
1355,twelve,0
1356,dominance,3
1357,hunger,7
1358,coats,0
1359,defile,0
1360,lots,0
1361,misconduct,0
1362,limbo,1
1363,two,22
1364,mindpictures,1
1365,shoot,0
1366,henoch,0
1367,settled,0
1368,apace,0
1369,change,8
1370,follow,2
1371,irregular,2
1372,mitigate,0
1373,requirements,0
1374,suggestion,2
1375,accomplished,2
1376,mourners,0
1377,contribution,2
1378,stammering,0
1379,sifteth,0
1380,somewhat,1
1381,amenable,1
1382,rearing,0
1383,town,0
1384,auddalaki,0
1385,scrupulous,0
1386,stores,0
1387,wormwood,0
1388,notably,2
1389,resembling,1
1390,elegance,0
1391,eternally,0
1392,brought,6
1393,expanded,3
1394,endowed,1
1395,administer,0
1396,hindrance,1
1397,observeth,0
1398,roofed,0
1399,obtainable,0
1400,produced,0
1401,alert,0
1402,lifeforce,1
1403,dissonant,1
1404,xi,0
1405,lusts,0
1406,indifference,0
1407,divers,0
1408,magical,4
1409,ardent,2
1410,guarding,0
1411,delighted,0
1412,fitness,2
1413,drown,1
1414,blindly,0
1415,hateth,0
1416,idealists,1
1417,precisely,1
1418,listened,0
1419,hereafter,1
1420,asserts,0
1421,slumber,0
1422,confining,1
1423,wonders,1
1424,discover,0
1425,wood,0
1426,issueth,0
1427,linen,0
1428,realised,0
1429,everpure,0
1430,hind,0
1431,opposing,0
1432,unreleased,0
1433,might,7
1434,rehearse,0
1435,maker,0
1436,doctor,0
1437,whither,0
1438,insipid,0
1439,bloweth,0
1440,arouse,2
1441,goods,0
1442,tortured,1
1443,apart,1
1444,guile,0
1445,unquestioning,0
1446,festering,0
1447,messenger,0
1448,entertain,0
1449,rejoiceth,0
1450,externally,0
1451,wall,2
1452,inquisitive,0
1453,discovered,0
1454,believes,1
1455,sounds,3
1456,strong,10
1457,ibid,0
1458,vomiter,0
1459,proper,2
1460,aspects,1
1461,accidents,1
1462,interplay,1
1463,finer,23
1464,miraculous,3
1465,boundless,2
1466,praiseth,0
1467,unloose,0
1468,passion,6
1469,beggary,0
1470,sections,1
1471,walking,1
1472,bewildered,0
1473,sinner,0
1474,birth,14
1475,cleanness,1
1476,jaw,0
1477,thinking,5
1478,distinguishes,0
1479,stain,1
1480,clothing,0
1481,become,10
1482,who,0
1483,tarry,0
1484,count,0
1485,briars,0
1486,pilgrimage,0
1487,duties,3
1488,meanings,6
1489,fruit,6
1490,east,1
1491,quiver,0
1492,measuring,3
1493,orbit,1
1494,brother,1
1495,close,5
1496,nonbecoming,0
1497,acknowledge,0
1498,cloak,1
1499,lighting,0
1500,infamous,0
1501,long,10
1502,thee,3
1503,graves,0
1504,merge,1
1505,disorderly,0
1506,ignorances,0
1507,hoarse,0
1508,acquires,0
1509,feast,0
1510,joylessness,0
1511,pretty,2
1512,agrees,0
1513,scared,0
1514,ashes,0
1515,establishment,1
1516,momentary,0
1517,churches,0
1518,rulest,0
1519,slowest,0
1520,transformer,0
1521,unassailable,2
1522,interest,1
1523,dyer,0
1524,impatiently,0
1525,pouring,2
1526,indulge,0
1527,unbecome,0
1528,experienced,0
1529,ride,0
1530,protecting,0
1531,indiscreet,0
1532,ananda,0
1533,falleth,0
1534,completes,0
1535,feelingness,0
1536,guiding,0
1537,cure,4
1538,range,2
1539,fir,1
1540,navel,0
1541,leaving,2
1542,shameful,0
1543,establish,0
1544,charging,1
1545,flattering,0
1546,activities,4
1547,justified,0
1548,bias,1
1549,similarly,0
1550,overcometh,2
1551,mankind,5
1552,availeth,0
1553,arrows,0
1554,perpetual,4
1555,lighten,1
1556,pick,0
1557,death,10
1558,impudent,0
1559,labourers,0
1560,miraculously,0
1561,destroyed,1
1562,shouldst,0
1563,temporal,3
1564,breasts,0
1565,trustworthy,2
1566,exclude,0
1567,striving,0
1568,socalled,2
1569,discrimination,0
1570,channels,3
1571,contrary,1
1572,dispensed,1
1573,breaking,2
1574,thorns,2
1575,borroweth,0
1576,worshippers,0
1577,frighten,0
1578,unsalty,0
1579,inhibiting,1
1580,praiseworthy,0
1581,liar,0
1582,drifted,1
1583,gluttons,0
1584,field,10
1585,healthful,0
1586,sem,0
1587,chose,0
1588,reached,5
1589,unravel,0
1590,warrior,1
1591,goes,3
1592,seem,5
1593,restlessness,5
1594,movements,0
1595,commenced,0
1596,seemeth,0
1597,rebirth,5
1598,pretend,0
1599,lizard,0
1600,indescribable,0
1601,exclusive,3
1602,drunk,0
1603,sell,0
1604,lightnings,0
1605,paradise,2
1606,mine,0
1607,lamb,0
1608,feeds,1
1609,dealeth,0
1610,beginningless,1
1611,boards,0
1612,contrivances,0
1613,associate,0
1614,separated,0
1615,stripes,0
1616,employ,0
1617,forwards,0
1618,breaths,2
1619,punishment,1
1620,solomon,0
1621,imagined,0
1622,imprison,1
1623,reborn,1
1624,habits,0
1625,vow,0
1626,reprobate,0
1627,mingles,1
1628,lotibid,0
1629,ropes,0
1630,plenty,0
1631,pearl,0
1632,triumpheth,0
1633,requite,0
1634,whetted,1
1635,evaluated,0
1636,supplements,0
1637,aspect,2
1638,fashion,0
1639,wrote,1
1640,judges,0
1641,difficulties,0
1642,myriad,0
1643,clingingaggregates,0
1644,numbered,0
1645,ripples,0
1646,wait,0
1647,manifestations,0
1648,glutted,0
1649,abyss,0
1650,scan,0
1651,executing,0
1652,dislike,0
1653,obedient,1
1654,fervour,4
1655,awakened,10
1656,companionship,1
1657,poise,10
1658,marvellously,1
1659,delivered,0
1660,uphill,1
1661,warmed,0
1662,going,1
1663,implements,0
1664,fretful,1
1665,slothfulness,0
1666,veil,14
1667,countenance,0
1668,labourer,0
1669,fermentations,0
1670,continuing,1
1671,written,4
1672,allwisdom,1
1673,deserve,0
1674,offering,2
1675,commandments,13
1676,selfexpression,1
1677,impersonal,1
1678,bowed,0
